city,lat,lon,popul,country
Marcq-en-Baroeul,50.6711,3.0972,38617,France
Villefranche-sur-Saone,45.9833,4.7167,36857,France
Cachan,48.7919,2.3319,31069,France
Chartres,48.456,1.484,38578,France
Poissy,48.9294,2.0456,37388,France
Villepinte,48.955,2.541,36830,France
Sainte-Genevieve-des-Bois,48.6369,2.3403,36207,France
Neuilly-sur-Marne,48.8537,2.549,34993,France
Conflans-Sainte-Honorine,48.9992,2.0983,35846,France
Houilles,48.9261,2.1892,32151,France
Creil,49.2583,2.4833,35657,France
Le Plessis-Robinson,48.7811,2.2633,29100,France
Les Lilas,48.88,2.42,23045,France
L'Hay-les-Roses,48.78,2.3374,31204,France
Palaiseau,48.7145,2.2457,35514,France
Athis-Mons,48.7074,2.3889,34347,France
Pierrefitte-sur-Seine,48.9656,2.3614,30306,France
Villeneuve-Saint-Georges,48.7325,2.4497,33545,France
Chatenay-Malabry,48.7653,2.2781,33286,France
Clichy-sous-Bois,48.9102,2.5532,29348,France
Villemomble,48.8833,2.5,29964,France
Thonon-les-Bains,46.3627,6.475,34756,France
Saint-Mande,48.8422,2.4186,22619,France
Agen,44.2049,0.6212,33576,France
Roanne,46.0367,4.0689,34366,France
Bezons,48.9261,2.2178,29383,France
Viry-Chatillon,48.6713,2.375,31093,France
Schiltigheim,48.6078,7.75,31894,France
Montigny-le-Bretonneux,48.7711,2.0333,32929,France
Chatou,48.8897,2.1573,30253,France
Ermont,48.9922,2.2603,29108,France
Trappes,48.7775,2.0025,32584,France
Les Mureaux,48.9875,1.9172,32792,France
Romainville,48.884,2.435,27567,France
Fresnes,48.755,2.3221,27802,France
Nevers,46.9933,3.1572,32990,France
Villiers-sur-Marne,48.8275,2.5447,28456,France
Pontoise,49.0516,2.1017,30767,France
Grigny,48.6562,2.3849,28737,France
Vigneux-sur-Seine,48.7001,2.417,31574,France
Fontenay-aux-Roses,48.7893,2.2888,24564,France
Lens,50.4322,2.8333,31415,France
Saint-Cloud,48.84,2.22,29973,France
Thiais,48.765,2.3923,29017,France
Vandoeuvre-les-Nancy,48.6567,6.1683,30002,France
Goussainville,49.0325,2.4747,30637,France
Lievin,50.4228,2.7786,30785,France
Sotteville-les-Rouen,49.4092,1.09,28965,France
Lambersart,50.65,3.025,27649,France
Perigueux,45.1929,0.7217,29966,France
Ris-Orangis,48.6537,2.4161,29225,France
Savigny-le-Temple,48.5841,2.5832,29984,France
Rillieux-la-Pape,45.8214,4.8983,30012,France
Yerres,48.7171,2.4881,29029,France
Bourg-la-Reine,48.7796,2.3151,20667,France
Aix-les-Bains,45.6885,5.9153,29794,France
Sannois,48.9722,2.2578,26662,France
Oullins,45.715,4.8083,26273,France
Dieppe,49.92,1.08,29080,France
Saint-Laurent-du-Var,43.668,7.188,28453,France
Les Pavillons-sous-Bois,48.9,2.5,23962,France
Arcueil,48.8075,2.3361,21501,France
