city,lat,lon,popul,country
Dinslaken,51.5667,6.7333,67525,Germany
Aalen,48.8372,10.0936,68456,Germany
Lippstadt,51.6667,8.35,67901,Germany
Herford,52.1146,8.6734,66608,Germany
Kerpen,50.8719,6.6961,66206,Germany
Sindelfingen,48.7133,9.0028,64858,Germany
Weimar,50.9833,11.3167,65090,Germany
Plauen,50.495,12.1383,64931,Germany
Neuwied,50.4286,7.4614,64574,Germany
Dormagen,51.0964,6.84,64335,Germany
Rosenheim,47.8561,12.1289,63324,Germany
Neubrandenburg,53.5569,13.2608,64086,Germany
Grevenbroich,51.0883,6.5875,63620,Germany
Herten,51.6,7.1333,61791,Germany
Bergheim,50.9667,6.65,61612,Germany
Coburg,50.2666,10.9666,61054,Germany
Friedrichshafen,47.6542,9.4792,60865,Germany
Schwabisch Gmund,48.8,9.8,61186,Germany
Garbsen,52.4183,9.5981,60754,Germany
Hurth,50.8775,6.8761,60189,Germany
Stralsund,54.3,13.0833,59421,Germany
Wesel,51.6586,6.6178,60357,Germany
Greifswald,54.0833,13.3833,59382,Germany
Offenburg,48.4708,7.9408,59646,Germany
Langenfeld,51.1167,6.95,58927,Germany
Neu-Ulm,48.3833,10.0,58707,Germany
Unna,51.5347,7.6889,58633,Germany
Goppingen,48.7025,9.6528,57558,Germany
Euskirchen,50.6597,6.7917,57975,Germany
Frankfurt (Oder),52.35,14.55,57873,Germany
Hameln,52.1031,9.36,57510,Germany
Sankt Augustin,50.77,7.1867,55767,Germany
Stolberg,50.7667,6.2333,56792,Germany
Gorlitz,51.1528,14.9872,56324,Germany
Eschweiler,50.8167,6.2833,56385,Germany
Meerbusch,51.2667,6.6667,56189,Germany
Waiblingen,48.8303,9.3169,55449,Germany
Schweinfurt,50.05,10.2333,54032,Germany
Baden-Baden,48.7619,8.2408,55123,Germany
Langenhagen,52.4394,9.74,54631,Germany
Hattingen,51.3992,7.1858,54562,Germany
Bad Homburg,50.2292,8.6105,54248,Germany
Pulheim,51.0,6.8,54071,Germany
Lingen,52.5233,7.3172,54422,Germany
Bad Salzuflen,52.0875,8.7506,54127,Germany
Nordhorn,52.4333,7.0667,53403,Germany
Wetzlar,50.5667,8.5,52954,Germany
Frechen,50.9167,6.8167,52473,Germany
Neustadt,49.35,8.15,53148,Germany
Passau,48.5667,13.4667,52469,Germany
Ahlen,51.7633,7.8911,52582,Germany
Wolfenbuttel,52.1622,10.5369,52174,Germany
Ibbenburen,52.2778,7.7167,51904,Germany
Kleve,51.79,6.14,51845,Germany
Bad Kreuznach,49.8469,7.8669,50948,Germany
Speyer,49.3194,8.4311,50378,Germany
Boblingen,48.6833,9.0,50155,Germany
Willich,51.2631,6.5492,50592,Germany
Gummersbach,51.0333,7.5667,50688,Germany
Ravensburg,47.7831,9.6114,50623,Germany
Goslar,51.906,10.4292,50753,Germany
Rastatt,48.8572,8.2031,49783,Germany
Lorrach,47.6156,7.6614,49347,Germany
Peine,52.3203,10.2336,49952,Germany
Emden,53.3669,7.2061,49913,Germany
Erftstadt,50.8167,6.7667,49801,Germany
Heidenheim,48.6761,10.1544,49526,Germany
Bergkamen,51.6167,7.6333,48725,Germany
Leonberg,48.8014,9.0131,48733,Germany
Frankenthal,49.5333,8.35,48561,Germany
Bad Oeynhausen,52.2,8.8,48702,Germany
Freising,48.4028,11.7489,48634,Germany
Rheda-Wiedenbruck,51.8417,8.3,48505,Germany
Bornheim,50.7592,7.005,48326,Germany
Dachau,48.2603,11.4342,47400,Germany
Gronau,52.2125,7.0417,48072,Germany
Cuxhaven,53.8667,8.7,48358,Germany
Alsdorf,50.8744,6.1615,47018,Germany
Straubing,48.8772,12.5758,47794,Germany
Soest,51.5711,8.1092,47460,Germany
Stade,53.6008,9.4764,47533,Germany
Herzogenrath,50.8667,6.1,46402,Germany
Fellbach,48.8086,9.2758,45671,Germany
Oberursel,50.2028,8.5769,46248,Germany
Landau,49.1994,8.1231,46677,Germany
Schwerte,51.4458,7.5653,46340,Germany
Neunkirchen,49.3448,7.1799,46469,Germany
Filderstadt,48.6667,9.2167,45813,Germany
Dulmen,51.8308,7.2783,46590,Germany
Hof,50.3167,11.9167,45930,Germany
Melle,52.2031,8.3361,46493,Germany
Gotha,50.9489,10.7183,45733,Germany
Bunde,52.2,8.6,45521,Germany
Wittenberg,51.8671,12.6484,46008,Germany
Weinheim,49.5561,8.6697,45284,Germany
Erkrath,51.2239,6.9147,44384,Germany
Rodgau,50.0256,8.8841,45202,Germany
Albstadt,48.2119,9.0239,45327,Germany
Bruhl,50.8333,6.9,44397,Germany
Bruchsal,49.1333,8.6,44644,Germany
Kaufbeuren,47.88,10.6225,43893,Germany
Falkensee,52.5583,13.0917,43838,Germany
Oranienburg,52.7544,13.2369,44512,Germany
Kaarst,51.2278,6.6273,43433,Germany
Bietigheim-Bissingen,48.9667,9.1333,43093,Germany
Memmingen,47.9878,10.1811,43837,Germany
Neustadt am Rubenberge,52.5055,9.4636,44282,Germany
Lehrte,52.3725,9.9769,43999,Germany
Kamen,51.5917,7.6653,42971,Germany
Erkelenz,51.08,6.3156,43364,Germany
Wismar,53.8925,11.465,42550,Germany
Siegburg,50.8014,7.2044,41463,Germany
Nettetal,51.3167,6.2833,42493,Germany
Gifhorn,52.4886,10.5464,42519,Germany
Dreieich,50.0189,8.6961,42091,Germany
Borken,51.8439,6.8583,42530,Germany
Amberg,49.4444,11.8483,41970,Germany
Eisenach,50.9747,10.3244,42370,Germany
Laatzen,52.3077,9.8133,41422,Germany
Heinsberg,51.0631,6.0964,41946,Germany
Homburg,49.3167,7.3333,41811,Germany
Ansbach,49.3,10.5833,41847,Germany
Germering,48.1333,11.3667,40389,Germany
Aurich,53.4714,7.4836,41991,Germany
Nordhausen,51.505,10.7911,41791,Germany
Nurtingen,48.6267,9.3353,41093,Germany
Wunstorf,52.4238,9.4359,41594,Germany
Schwabach,49.3292,11.0208,40792,Germany
Konigswinter,50.6833,7.1833,41243,Germany
Freiberg,50.9119,13.3428,40885,Germany
Kirchheim unter Teck,48.6483,9.4511,40523,Germany
Leinfelden-Echterdingen,48.6928,9.1428,40092,Germany
Bensheim,49.6811,8.6228,40456,Germany
Lemgo,52.0277,8.9043,40696,Germany
Eberswalde,52.8331,13.8331,40387,Germany
Pirmasens,49.2,7.6,40403,Germany
Ostfildern,48.7228,9.2631,39321,Germany
Schwabisch Hall,49.1122,9.7375,40440,Germany
Weissenfels,51.2,11.9667,40409,Germany
Freital,51.0167,13.65,39709,Germany
Buxtehude,53.4769,9.7011,40150,Germany
Huckelhoven,51.0608,6.2197,39931,Germany
Halberstadt,51.8958,11.0467,40256,Germany
Maintal,50.15,8.8333,39298,Germany
Neumarkt,49.2833,11.4667,40002,Germany
Hofheim,50.0876,8.4447,39766,Germany
Lohne,52.2,8.7,39697,Germany
Schorndorf,48.8,9.5333,39634,Germany
Ettlingen,48.9333,8.4,39339,Germany
Volklingen,49.25,6.8333,39374,Germany
Wurselen,50.8247,6.1275,38712,Germany
Mettmann,51.25,6.9667,38829,Germany
Stendal,52.6,11.85,39439,Germany
Ahaus,52.0794,7.0134,39223,Germany
Niederkassel,50.8167,7.0333,38218,Germany
Ilmenau,50.6872,10.9142,39017,Germany
Neu Isenburg,50.0558,8.6971,37668,Germany
Langen,49.9893,8.6803,37902,Germany
Pirna,50.9622,13.9403,38316,Germany
Bitterfeld,51.6167,12.3167,38475,Germany
Bautzen,51.1814,14.4239,38329,Germany
Furstenfeldbruck,48.1778,11.2556,37677,Germany
Backnang,48.9464,9.4306,37253,Germany
Kamp-Lintfort,51.5,6.5333,37391,Germany
Greven,52.0917,7.6083,37692,Germany
Papenburg,53.0667,7.4,37579,Germany
Wesseling,50.8207,6.9786,36146,Germany
Beckum,51.7558,8.0408,36646,Germany
Konigs Wusterhausen,52.2917,13.625,37190,Germany
Warendorf,51.9539,7.9933,37226,Germany
Suhl,50.6106,10.6931,36955,Germany
Erding,48.3001,11.9082,36469,Germany
Kehl,48.5711,7.8089,36089,Germany
Emsdetten,52.1728,7.5344,36012,Germany
Muhlhausen,51.2167,10.45,36200,Germany
Coesfeld,51.9458,7.1675,36217,Germany
Sankt Ingbert,49.3,7.1167,35714,Germany
Tuttlingen,47.985,8.8233,35730,Germany
Limburg,50.3833,8.0667,35243,Germany
Porta Westfalica,52.2167,8.9333,35671,Germany
Ingelheim,49.9747,8.0564,35146,Germany
Sinsheim,49.25,8.8833,35442,Germany
Morfelden-Walldorf,49.9896,8.5661,34828,Germany
Dietzenbach,50.0086,8.7756,34019,Germany
Meppen,52.6906,7.291,35373,Germany
Lage,51.9833,8.8,35047,Germany
Cloppenburg,52.8478,8.0439,34913,Germany
Saarlouis,49.3167,6.75,34552,Germany
Radebeul,51.1033,13.67,34008,Germany
Bad Vilbel,50.1781,8.7361,33990,Germany
Wermelskirchen,51.1392,7.2051,34765,Germany
Winsen,53.3667,10.2167,34896,Germany
Datteln,51.6539,7.3417,34614,Germany
Kempen,51.3658,6.4194,34597,Germany
Seelze,52.3961,9.5981,34442,Germany
Leer,53.2308,7.4528,34486,Germany
Crailsheim,49.1347,10.0706,34400,Germany
Merseburg,51.3544,11.9928,34080,Germany
Zweibrucken,49.2494,7.3608,34209,Germany
Balingen,48.2731,8.8506,34217,Germany
Hemer,51.3833,7.7667,34080,Germany
