city,lat,lon,popul,country
Obukhiv,50.1,30.6167,33204,Ukraine
Mohyliv-Podil's'kyy,48.45,27.7833,30982,Ukraine
Yuzhne,46.6222,31.1008,32100,Ukraine
Kostopil',50.8833,26.4431,31463,Ukraine
Tokmak,47.2514,35.7058,31016,Ukraine
Novoyavorovskoye,49.9311,23.5731,30723,Ukraine
Synel'nykove,48.3178,35.5119,30724,Ukraine
Pervomaiskyi,49.3869,36.2142,30048,Ukraine
Alushta,44.6672,34.3978,29668,Ukraine
Khmil'nyk,49.55,27.9667,27941,Ukraine
Truskavets',49.2806,23.505,28867,Ukraine
Chortkiv,49.0167,25.8,29169,Ukraine
Balakliia,49.4564,36.8389,28868,Ukraine
Novyy Rozdil,49.4703,24.13,28745,Ukraine
Khust,48.1814,23.2978,28424,Ukraine
Pershotravens'k,48.3464,36.4044,28363,Ukraine
Ternivka,48.5231,36.0826,28298,Ukraine
Khrestivka,48.15,38.3667,28149,Ukraine
Vyshhorod,50.5833,30.5,27825,Ukraine
Zolotonosha,49.6833,32.0333,27847,Ukraine
Bakhchysaray,44.7528,33.8608,27351,Ukraine
Pereyaslav-Khmel'nyts'kyy,50.0661,31.4422,27088,Ukraine
Perevalsk,48.4333,38.8167,26132,Ukraine
Malyn,50.7689,29.27,26204,Ukraine
Yany Kapu,45.9675,33.8003,25769,Ukraine
Saky,45.1336,33.5772,24885,Ukraine
Haysyn,48.8094,29.3906,25672,Ukraine
Vynohradiv,48.1397,23.0331,25403,Ukraine
Korostyshiv,50.3186,29.0592,25445,Ukraine
Slavutych,51.5206,30.7569,25030,Ukraine
Kaniv,49.7447,31.4558,24532,Ukraine
Selydove,48.15,37.3,23793,Ukraine
Zolochiv,49.8075,24.9031,24059,Ukraine
Berehove,48.2025,22.6375,23732,Ukraine
Brody,50.0781,25.1542,23752,Ukraine
Kozyatyn,49.7167,28.8333,23610,Ukraine
Vil'nohirs'k,48.4824,34.0189,23235,Ukraine
Molodohvardiisk,48.3444,39.6583,22937,Ukraine
Znam'yanka,48.7136,32.6733,22936,Ukraine
Ladyzhyn,48.6667,29.2167,22682,Ukraine
Nadvirna,48.6333,24.5833,22447,Ukraine
Lyman,48.9861,37.8111,22315,Ukraine
Armyans'k,46.1072,33.6933,21956,Ukraine
Sokal',50.4833,24.2833,20986,Ukraine
Liubotyn,49.9489,35.9306,20887,Ukraine
Kremenets',50.1081,25.7275,20837,Ukraine
Dolyna,48.9703,24.0108,20691,Ukraine
Heniches'k,46.1769,34.7989,19869,Ukraine
Yahotyn,50.2569,31.7817,19613,Ukraine
Pidhorodne,48.5737,35.0966,19524,Ukraine
Balta,47.9361,29.6225,19353,Ukraine
Dolyns'ka,48.1111,32.7648,19287,Ukraine
Kalynivka,49.4472,28.5231,18906,Ukraine
Polohy,47.4796,36.2611,18886,Ukraine
P'yatykhatky,48.4126,33.7034,18845,Ukraine
Starobilsk,49.2667,38.9167,18796,Ukraine
Vovchansk,50.2881,36.9461,18644,Ukraine
Skadovs'k,46.1167,32.9167,18482,Ukraine
Dniprorudne,47.3855,34.9879,18468,Ukraine
Korsun'-Shevchenkivs'kyy,49.4261,31.2806,18401,Ukraine
Amvrosiivka,47.7958,38.4801,18413,Ukraine
Svatove,49.4092,38.1619,18417,Ukraine
Lutuhyne,48.4019,39.2103,18107,Ukraine
Bolhrad,45.6855,28.6134,17400,Ukraine
Svalyava,48.5472,22.9861,17234,Ukraine
Zvenyhorodka,49.0833,30.9667,17078,Ukraine
Zmiiv,49.6878,36.3558,17063,Ukraine
Vatutine,49.0167,31.0667,16888,Ukraine
Izyaslav,50.1167,26.8,16901,Ukraine
Sudak,44.8514,34.9725,16756,Ukraine
Berezan',50.3197,31.47,16506,Ukraine
Horodok,49.1667,26.5667,16516,Ukraine
Bilohirs'k,45.0544,34.6022,16428,Ukraine
Verkhivtseve,48.4812,34.2488,16364,Ukraine
Bar,49.0781,27.6831,16136,Ukraine
Horodok,49.7822,23.6436,15993,Ukraine
Skvyra,49.7333,29.6833,15889,Ukraine
Vinnichki,49.8156,24.1297,15723,Ukraine
Ovruch,51.3244,28.8081,15795,Ukraine
Putyvl',51.3347,33.8686,15778,Ukraine
Ostroh,50.3333,26.5167,15642,Ukraine
